"id_komponen","nama_komponen","brand_komponen","id_kategori","soket_komponen","harga_komponen","performa_komponen","daya_komponen"
"1","AM4 Ryzen 3 3200G","AMD","1","AM4","1019000","7128","65"
"2","AM4 Ryzen 5 4500","AMD","1","AM4","1238000","16121","65"
"3","AM4 Ryzen 5 5500","AMD","1","AM4","1307000","19395","65"
"4","AM4 Ryzen 5 4600G","AMD","1","AM4","1545000","16063","65"
"5","AM4 Ryzen 5 5600","AMD","1","AM4","1600000","21572","65"
"6","AM4 Ryzen 5 5600G","AMD","1","AM4","1925000","19878","65"
"7","AM4 Ryzen 5 5600GT","AMD","1","AM4","2095000","20330","65"
"8","AM4 Ryzen 7 5700X","AMD","1","AM4","2750000","26662","65"
"9","AM4 Ryzen 7 5700G ","AMD","1","AM4","2948000","24555","65"
"10","AM4 Ryzen 7 5700","AMD","1","AM4","2964000","24261","65"
"11","AM4 Ryzen 7 5700X3D","AMD","1","AM4","4030000","26339","105"
"12","Core i3 12100F - LGA1700","Intel","1","LGA1700","1150000","14114","65"
"13","Core i3 12100 - LGA1700","Intel","1","LGA1700","1650000","13597","65"
"14","Core i5 12400F LGA 1700","Intel","1","LGA1700","1680000","19528","65"
"15","Core i5 12400 LGA 1700","Intel","1","LGA1700","2150000","19368","65"
"16","Core i5 13400F - LGA1700","Intel","1","LGA1700","2630000","25177","65"
"17","Core i7 12700F - LGA1700","Intel","1","LGA1700","3750000","30684","65"
"18","Core i7 12700 - LGA1700","Intel","1","LGA1700","4200000","30783","65"
"19","Core i5 14600KF - LGA1700","Intel","1","LGA1700","4200000","39305","125"
"20","Core i7 14700F - LGA1700","Intel","1","LGA1700","5350000","43746","65"
"21","Core i7 14700KF - LGA1700","Intel","1","LGA1700","5950000","53348","125"
"22","Core i9 14900KF - LGA1700","Intel","1","LGA1700","8500000","59486","125"
"23","Motherboard Asus PRIME A520M-K","Asus ","2","AM4","908000","0","0"
"24","Motherboard Gigabyte B450M K ","Gigabyte ","2","AM4","1016000","0","0"
"25","Motherboard Asrock A520M/ac","Asrock ","2","AM4","1032000","0","0"
"26","Motherboard Asus PRIME B450M-A","Asus ","2","AM4","1092000","0","0"
"27","Motherboard Gigabyte B550M DS3H","Gigabyte ","2","AM4","1508000","0","0"
"28","Motherboard Asrock B550M WiFi SE","Asrock ","2","AM4","1688000","0","0"
"29","Motherboard Asus PRIME B550M-K","Asus ","2","AM4","1355000","0","0"
"30","Motherboard Asrock B550M Phantom Gaming 4","Asrock ","2","AM4","1438000","0","0"
"31","Motherboard Asrock B550M Pro SE","Asrock ","2","AM4","1588000","0","0"
"32","Motherboard Asrock B550m Steel Legend","Asrock ","2","AM4","2200000","0","0"
"33","Motherboard Asrock H610M-H2","Asrock ","2","LGA1700","1000000","0","0"
"34","Motherboard Asrock H610M-HVS","Asrock ","2","LGA1700","1020000","0","0"
"35","Motherboard Gigabyte H610M K","Gigabyte ","2","LGA1700","1085000","0","0"
"36","Motherboard Asus PRIME H610M-K","Asus ","2","LGA1700","1110000","0","0"
"37","Motherboard Gigabyte B760M","Gigabyte ","2","LGA1700","1655000","0","0"
"38","Motherboard Asrock B760M-HDV","Asrock ","2","LGA1700","1666000","0","0"
"39","Motherboard Asrock B760M PG","Asrock ","2","LGA1700","1730000","0","0"
"40","Motherboard Gigabyte B760M DS3H","Gigabyte ","2","LGA1700","1850000","0","0"
"41","Motherboard Gigabyte B760M DS3H AX","Gigabyte ","2","LGA1700","2085000","0","0"
"42","NVIDIA GT210 1GB DDR3","Midasforce","3",,"288000","115","21"
"43","VGA GeForce GT610 2GB","QWERTY","3",,"299000","311","30"
"44","VGA NVIDIA GT610 2GB","Midasforce","3",,"340000","311","30"
"45","VGA NVIDIA GT730 2GB","Midasforce","3",,"480000","835","65"
"46","VGA GeForce GT730 4GB","QWERTY","3",,"539000","835","65"
"47","VGA GeForce GT 710 Silent 2GB","ASUS","3",,"570000","628","20"
"48","VGA NVIDIA GT730 4GB","Midasforce","3",,"600000","835","65"
"49","VGA GeForce GT 730 2GB","ASUS","3",,"731000","835","65"
"50","NVIDIA GTX 750TI 4GB","Midasforce","3",,"990000","3900","65"
"51","Radeon RX 550 4GB","Asrock","3",,"1130000","2737","75"
"52","VGA Radeon RX580 8GB","QWERTY","3",,"1419000","8856","250"
"53","Radeon RX 580 8GB","Midasforce","3",,"1480000","8856","250"
"54","GTX 1050TI 4GB","Midasforce","3",,"1950000","6314","120"
"55","Intel Arc A380 Low Profile 6GB","Asrock","3",,"2000000","6211","75"
"56","GeForce RTX 3050 6GB","PNY","3",,"2742000","10634","150"
"57","GeForce RTX 3050 OC Edition 6GB","ASUS","3",,"3155000","10634","150"
"58","GeForce RTX 3050 WINDFORCE OC 6G","Gigabyte","3",,"3238000","10634","150"
"59","Radeon RX 6600 Challenger D 8GB","Asrock","3",,"3316000","15148","140"
"60","GeForce RTX 4060 8GB","PNY","3",,"4690000","19882","130"
"61","GeForce RTX 3060 WINDFORCE OC 12G","Gigabyte","3",,"4925000","17000","180"
"62","GeForce RTX 4060 WINDFORCE OC 8G","Gigabyte","3",,"5365000","19882","130"
"63","GeForce RTX 4060 EVO OC Edition 8GB","ASUS","3",,"5380000","19882","130"
"64","GeForce RTX 4060 White OC Edition 8GB","ASUS","3",,"5435000","19882","130"
"65","GeForce RTX 4060 EAGLE OC 8G","Gigabyte","3",,"5700000","19882","130"
